query,query_camera,rank,score,match,match_camera
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound,2,0.923389,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound,3,0.914730,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound,4,0.910294,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound,5,0.905777,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound,1,0.925285,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound,2,0.902564,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound,3,0.900507,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound,4,0.899306,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound,5,0.899035,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound,1,0.909380,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_37",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound,2,0.898456,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound,3,0.891622,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound,4,0.890113,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound,5,0.888429,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound,1,0.939885,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound,2,0.911609,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound,3,0.908723,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_9",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound,4,0.892205,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound,5,0.890041,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_5",NEagleville_Hillside_2026-04-06_Northbound,1,0.787075,"NEagleville_Hillside_2026-04-06_Westbound_0117 Road - Hillside @ N. Eagleville Westbound_trim_00h00m00s-00h00m30s_16",NEagleville_Hillside_2026-04-06_Westbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_5",NEagleville_Hillside_2026-04-06_Northbound,2,0.763681,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_113",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_5",NEagleville_Hillside_2026-04-06_Northbound,3,0.718278,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_37",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_5",NEagleville_Hillside_2026-04-06_Northbound,4,0.702014,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_21",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_5",NEagleville_Hillside_2026-04-06_Northbound,5,0.700517,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_53",NEagleville_Hillside_2026-04-06_Northbound,1,0.899601,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_53",NEagleville_Hillside_2026-04-06_Northbound,2,0.883546,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound
"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_53",NEagleville_Hillside_2026-04-06_Northbound,3,0.881132,"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound
